Name,Currently Brewing,Personal Rating,Company,Origin,Flavors,Single Origin,Notes,Price (250g),Image,Date,Process,Subscriptions,Count
Bells,,3,Mission Coffee Works,"Peru,Brazil","Milk chocolate,Tangerine,Hazelnut",,,£10.00,2020-12-09 19.50.58.jpg (https://dl.airtable.com/.attachments/2bbed6860330ed33c7510c80abea2d51/94cb7671/2020-12-0919.50.58.jpg),9.12.2020,"Natural,Washed",,
Espresso Blend,,2,Element Coffee,"Brazil,Honduras","Vanilla,Caramel",,,,2020-11-15 09.38.04.jpg (https://dl.airtable.com/.attachments/5291ea1009bd8a5b296ff2b658a3c688/e7f82b2e/2020-11-1509.38.04.jpg),15.11.2020,N/a,,
Espirito Santo ,,3,Catalyst,Brazil,"Peach,Dark chocolate,Raisin",checked,,£13.00,2020-11-08 20.14.43.jpg (https://dl.airtable.com/.attachments/82dd992ba77bd01a84d3e5e06989bfbf/1545e2c0/2020-11-0820.14.43.jpg),8.11.2020,Pulped Natural,,
Paranaiba Cachoeira,,3,Lost Sheep Coffee,Brazil,"Chocolate,Toffee,Fudge",checked,,£10.00,2020-10-30 18.05.13.jpg (https://dl.airtable.com/.attachments/41e574961cd50cb20e3871a509cb1225/108b2b3e/2020-10-3018.05.13.jpg),30.10.2020,Natural,,
Huehuetenango,,3,Routes,Guatemala,"Chocolate,Maple syrup,Pineapple",checked,So much crema. Hard to grind. ,£10.00,2020-10-27 07.07.42.jpg (https://dl.airtable.com/.attachments/5cfa2d1e3bf7c6c561ccef554ea57367/585ba834/2020-10-2707.07.42.jpg),27.10.2020,Washed,,
La Esperanza / Tolima,,4,Routes,Colombia,"Red apple,Boozy,Chocolate",checked,,£10.00,2020-10-27 07.09.26.jpg (https://dl.airtable.com/.attachments/7b4ec300454588c142b2ec3508140d60/8b1a33bb/2020-10-2707.09.26.jpg),27.10.2020,,,
El limon ,,3,Hasbean,Guatemala,"Malted milk,Milk chocolate",,,£7.50,2020-10-19 17.47.07.jpeg (https://dl.airtable.com/.attachments/359edfcce9220cff4bd07e99005e6c80/36a42e56/2020-10-1917.47.07.jpeg),16.10.2020,,,
Chapadão de Ferro ,,3,Kofra,Brazil,"Cherry,Walnut",checked,,£12.00,2020-10-10 12_10_45.jpeg (https://dl.airtable.com/.attachments/e07c63514cca06a745d232cc7dd16a5d/2bff6e81/2020-10-1012_10_45.jpeg),10.10.2020,Natural,,
Tacu ,,3,Modern Standard,Bolivia,Praline,checked,,£10.00,2020-10-02 17.13.09.jpg (https://dl.airtable.com/.attachments/6c07ca20577996c82627b414752e4a12/748489d1/2020-10-0217.13.09.jpg),2.10.2020,Washed,,
La Colina,,2,The Roasting Shed,Guatemala,"Marzipan,Milk chocolate,Orange zest",checked, ,£9.00,2020-09-27 08.36.46.jpg (https://dl.airtable.com/.attachments/80b7c12badf7e62a07d633798eb2f497/cd7c153a/2020-09-2708.36.46.jpg),27.9.2020,Washed,Rise,
Uganda Rwenzori 86+,,2,River City Coffee,Uganda,,checked,,£8.00,2020-09-20 07.22.54.jpeg (https://dl.airtable.com/.attachments/bff672d7d10d695cc44cf85157e0776d/d29e416b/2020-09-2007.22.54.jpeg),20.9.2020,Floated Natural,Rise,
House Coffee,,3,Yallah,Brazil,"Date,Dark chocolate,Brown sugar",,,£7.20,2020-09-06 06.36.46.jpg (https://dl.airtable.com/.attachments/45f3ef43c4af0edf1d8309d71f503e13/a964db59/2020-09-0606.36.46.jpg),5.9.2020,Natural,,
Original Espresso,,3,Extract,"Colombia,El Salvador,Guatemala","Toffee,Malted milk,Red berry",,Gift from Mick Ort ,£9.00,2020-08-26 07.08.21.jpg (https://dl.airtable.com/.attachments/588c3faebaa2d3d04d28bf8617b58aa4/28a0feb9/2020-08-2607.08.21.jpg),26.8.2020,N/a,,
Resolute,,3,Origin,"Colombia,El Salvador,Peru","Caramel,Milk chocolate,Stewed plum",,,£9.00,2020-08-20 18.22.30.jpg (https://dl.airtable.com/.attachments/7bc0d14203495a8b5f6ce8438bd7221e/821f313e/2020-08-2018.22.30.jpg),20.8.2020,N/a,Rise,
San Fermin,,4,Origin,Colombia,"Orange Sherbet,Caramel,Berries",checked,,£9.00,2020-08-20 18.23.39.jpg (https://dl.airtable.com/.attachments/d583225d006405e24a4acb6c16e6f6f7/a98deb2e/2020-08-2018.23.39.jpg),20.8.2020,Washed,Rise,
Uganda Bokonzo Dream,,4,Elsewhere Coffee Roasters,Uganda,"Strawberry,Lemon",checked,,£10.00,2020-07-25 09.30.09.jpg (https://dl.airtable.com/.attachments/4b8b1073d3a06d70c5ded102e1591f01/74dcfca7/2020-07-2509.30.09.jpg),25.7.2020,Natural,Secret Caffeine Club,
Ethiopia Ibrahim Hussein,,3,Moon Roast,Ethiopia,"Citrus,Cream,Lavendar",checked,,£10.00,2020-07-17 06.40.08.jpg (https://dl.airtable.com/.attachments/8cafd1600359b0ef00413a4cb4470bbd/701287cc/2020-07-1706.40.08.jpg),17.7.2020,Washed,Rise,
De Beauvoir Espresso,,5,Scarlett,Colombia,"Chocolate,Cranberries,Bourbon biscuit",,,£9.00,2020-07-14 13.11.19.jpg (https://dl.airtable.com/.attachments/00cae135891f93ee537480d6739d6c86/1e98c944/2020-07-1413.11.19.jpg),14.7.2020,Washed,Rise,2
Heavy Bag Seasonal Espresso,,3,80 Stone Coffee Roasters,"Honduras,Costa Rica","Caramel,Marzipan",,,,2020-07-14 13.12.52.jpg (https://dl.airtable.com/.attachments/7b9055c9fb3fff18414ef2b26b6c1dd1/923bc0d4/2020-07-1413.12.52.jpg),14.7.2020,Washed,,
Riders On The Storm,,3,Blind Owl Coffee Co,"Colombia,Brazil","Honey,Chocolate Biscuit,Fruity",,,£10.00,2020-07-01 15.22.48.jpg (https://dl.airtable.com/.attachments/3b584e61b904d8e3382f60a1b6a3ab06/15562fb4/2020-07-0115.22.48.jpg),1.7.2020,N/a,Secret Caffeine Club,
Pe de cedro ,,4,Roastworks,Brazil,"White chocolate,Cream,Macadamia",checked,,£12.00,2020-06-27 08.04.47.jpg (https://dl.airtable.com/.attachments/72529fb3d5a3287533e180165032965a/49840666/2020-06-2708.04.47.jpg),27.6.2020,Natural,,
La Ricuarte ,,4,Lufkin ,Colombia,"Praline,Mandarin,Red toffee apple",checked,,£12.00,2020-06-26 06.54.59.jpg (https://dl.airtable.com/.attachments/b4e9df3ce1a10bf273921ca0a8830021/316c089d/2020-06-2606.54.59.jpg),26.6.2020,Washed,,
Inza Cauca ,,4,Wood St Coffee,Colombia,"Milk chocolate,Red apple,Sugar cane",checked,,£9.00,2020-06-15 12.15.12.jpg (https://dl.airtable.com/.attachments/7ae78b8d6977c6beeb4978c05494ae9f/9546a289/2020-06-1512.15.12.jpg),15.6.2020,,Secret Caffeine Club,
Buftu Gudina Coop,,4,Yallah,Ethiopia,"Peach,Apricot,Floral",checked,,£9.00,2020-06-13 12.33.02.jpg (https://dl.airtable.com/.attachments/15dcef8b93d62c580c90af55cb1d0029/862664f9/2020-06-1312.33.02.jpg),13.6.2020,Washed,Yallah Explore,
La Penson’s Microlot,,4,Salford Roasters,Honduras,"Fruit,Cola,Red berry",checked,,£12.00,2020-06-08 07.01.46.jpg (https://dl.airtable.com/.attachments/cb7a653fb08764eca3129798f828c5be/11dc2eac/2020-06-0807.01.46.jpg),8.6.2020,,,
Hand Roasted Honduran,,4,Divine Coffee Roasters,Honduras,"Caramel,Tropical",checked,,£7.00,2020-05-31 11.51.55.jpg (https://dl.airtable.com/.attachments/b0494f250820563f87a26881342710c9/b19bc130/2020-05-3111.51.55.jpg),27.5.2020,,,
Fazenda Pantano,,3,Jericho,Brazil,"Chocolate,Nutty,Rum and raisin,Citrus",checked,,£7.25,2020-06-07 06.42.44.jpg (https://dl.airtable.com/.attachments/934d3630a8d1da7663e4353b0f0e49bd/6b2be3b5/2020-06-0706.42.44.jpg),27.5.2020,,,1
Sevenstones ,,3,Lands End Coffee,Colombia,"Fruity,Caramel,Cocoa",checked,,£10.00,2020-05-19 06.56.07.jpg (https://dl.airtable.com/.attachments/045c50a2729fe91ba332863ad41e68d0/e72e4015/2020-05-1906.56.07.jpg),15.5.2020,,,
Colombia Gran Calope ,,3,Rockhill Brothers Coffee Co,Colombia,,checked,,£10.00,2020-05-03 09.31.03.jpg (https://dl.airtable.com/.attachments/73c248968192c6f70722f5354bce8131/7190188f/2020-05-0309.31.03.jpg),24.4.2020,,Secret Caffeine Club,
Paul Pora,,4,Yallah,Papau New Guinea,"Winey,Fruity,Tropical",checked,,£10.00,2020-05-17 10.01.47.jpg (https://dl.airtable.com/.attachments/a88ee8e3e6e36e615bd074c98b95f32a/99e7485a/2020-05-1710.01.47.jpg),5.4.2020,,Yallah Explore,1
Jemala,,3,Java Hub,"Africa,Central South America","Sweet,Nutty,Chocolate",,,£10.00,2020-05-24 07.47.17.jpg (https://dl.airtable.com/.attachments/3da943a94ed34f0d0e86e90c86b3d4b2/bb952bf1/2020-05-2407.47.17.jpg),12.3.2020,Natural,Secret Caffeine Club,1
