Name,Currently Brewing,Personal Rating,Company,Origin,Flavors,Single Origin,Notes,Price (250g),Image,Date,Process,Subscriptions,Count
Sweet,,3,Common,Brazil,"Chocolate,Rum and raisin,Berry",checked,,£10.00,2021-12-19 21.32.49.jpg (https://dl.airtable.com/.attachments/1de8ecc82a3a4a9beb7eb54014ad939a/3c421525/2021-12-1921.32.49.jpg),19.12.2021,Anaerobic natural,,1
Fazenda Alta Vista Carmo de minas,,3,Coleman Coffee Roasters,Brazil,,checked,,£8.00,2021-12-19 21.25.19.jpg (https://dl.airtable.com/.attachments/7b90b821dfdb757ce87c8640f8315d96/bc80192e/2021-12-1921.25.19.jpg),17.12.2021,Pulped Natural,,1
Shady Bader,,2,Fireheart Coffee,Colombia,"Neapolitan ice cream,Custard cream,Biscotti",checked,"Large beans, hard to grind fine enough",£11.95,2021-12-06 20.50.14.jpg (https://dl.airtable.com/.attachments/7dd2711bd7ff15e1c5b04bd4f16a112d/018b95f7/2021-12-0620.50.14.jpg),5.12.2021,"Anaerobic Fermentation,Natural",,1
Nui and Aoy’s Double Anaerobic Honey,,3,Hasbean,Thailand,"Orange creme,Milk chocolate,Nutmeg",checked,,£10.00,2021-12-04 09.30.26.jpg (https://dl.airtable.com/.attachments/d6b7a200ec8407f4a01536831fdffb98/949a03d5/2021-12-0409.30.26.jpg),4.12.2021,Double anaerobic Honey,Steve’s Super Secret Stash Subscription  2021,1
Fazenda Cruziero,,3,New Era,Brazil,"Milk chocolate,Cherry,Hazelnut",checked,,£7.30,2021-11-30 21.32.18.jpg (https://dl.airtable.com/.attachments/cfc77d27754cc58d05c69fccfc08f8b7/968b9566/2021-11-3021.32.18.jpg),30.11.2021,Natural,,1
"Ana, Cris and Renata",,3,Girls Who Grind Coffee,Brazil,"Pomelo,Gummy sweets,Black cherry",checked,,£9.75,2021-11-20 06.42.07.jpg (https://dl.airtable.com/.attachments/53e969d48c63fe5c057d647d81ed4451/c17852bf/2021-11-2006.42.07.jpg),20.11.2021,Natural,,1
Staple,,3,Monk,"Brazil,India","Cocoa,Hazlenut,Dried fruit",,,£10.00,2021-10-30 08.15.16.jpg (https://dl.airtable.com/.attachments/c22fc169d86c7b48431f1b31df4ad777/c6129799/2021-10-3008.15.16.jpg),30.10.2021,"Natural,Pulped Natural",,1
Finca Argentina,,2,Hasbean,El Salvador,"Lemon,Orange,Citrus,Herbal,Hops",checked,Very hard to brew,£10.00,2021-10-30 08.21.46.jpg (https://dl.airtable.com/.attachments/0fd3dc98869d15ef4e05aac635c58c7f/4f2764e8/2021-10-3008.21.46.jpg),30.10.2021,Washed,Steve’s Super Secret Stash Subscription  2021,1
Super Tasty Decaf,,3,Wild Heart Coffee ,Colombia,"Sweet,Syrupy,Juicy",checked,,£10.00,2021-10-16 11.09.37.jpg (https://dl.airtable.com/.attachments/8db69d169371524a3e8886f9fae8c081/eb7e61fa/2021-10-1611.09.37.jpg),16.10.2021,Sugarcane,,1
Villamaria,,3,Wild Heart Coffee ,Colombia,"Sweet,Silky,Choco",checked,,£8.00,2021-10-16 11.09.41.jpg (https://dl.airtable.com/.attachments/c43d259220b07826137ec57248a95723/310d05b2/2021-10-1611.09.41.jpg),16.10.2021,Washed,,1
Bekele Guye,,3,Wild Heart Coffee ,Ethiopia,"Syrupy,Fresh",checked,Free sample,£0.00,2021-10-16 11.14.20.jpg (https://dl.airtable.com/.attachments/6f8fc9d3f49ad2621281362c3387c41c/cd5193ba/2021-10-1611.14.20.jpg),16.10.2021,Natural,,1
Peace and Love,,2,Dark Arts,Guatemala,"Plum,Golden syrup,Peach",checked,,£9.00,"2021-10-06 07.01.45.jpg (https://dl.airtable.com/.attachments/5ebff0c2059bba6af1b8c4dffd258ab8/fdf8126e/2021-10-0607.01.45.jpg),2021-10-06 07.01.47.jpg (https://dl.airtable.com/.attachments/f6a20388799176333f3ca79b647a048e/d9c2d953/2021-10-0607.01.47.jpg)",4.10.2021,Washed,,1
El Fuerte Longberry,,3,Hasbean,Bolivia,"Stewed plum,Bruised peach,Cola,Green apple",checked,,£10.00,2021-10-01 21.34.34.jpg (https://dl.airtable.com/.attachments/da3a9ef88f78468f4f3051d9abdef387/73f5b866/2021-10-0121.34.34.jpg),1.10.2021,Natural,Steve’s Super Secret Stash Subscription  2021,1
Sul de Minas,,3,Volcano Coffee,Brazil,"Date,Nougat,Lychee",checked,,£8.00,2021-09-24 12.53.37.jpg (https://dl.airtable.com/.attachments/193155fa7f7f106e5f12b53fe6af329a/a9ec95ec/2021-09-2412.53.37.jpg),24.9.2021,Natural,,1
Arbar la Isla ,,3,Hasbean,Costa Rica,"Blackberry,Lime,Dark chocolate",,,£12.00,2021-08-30 12.26.49.jpg (https://dl.airtable.com/.attachments/1e61ee67001341049476d8905aa772a9/6c30c730/2021-08-3012.26.49.jpg),30.8.2021,Yellow honey kenia,Steve’s Super Secret Stash Subscription  2021,
Don Joel Finca La Cumbre de San Luis,,3,Hasbean,Costa Rica,"Apricot,Orange,Lemon",checked,,£10.00,2021-09-19 20.08.36.jpg (https://dl.airtable.com/.attachments/262356e604a348350cd8fccdef42e901/d04e8939/2021-09-1920.08.36.jpg),25.8.2021,Yellow Honey,Steve’s Super Secret Stash Subscription  2021,
Aylesbury Blend,,4,Redemption Roasters,"Brazil,Colombia,Burundi","Frangipane,Cherry,Macadamia",,,£8.99,2021-07-06 06.51.22.jpg (https://dl.airtable.com/.attachments/245f5589fc5d0b22d9b8e3a584e76917/a4ac8514/2021-07-0606.51.22.jpg),6.7.2021,"Natural,Washed",,
El Fuerte,,4,Hasbean,Bolivia,"Honey & lemon,Green banana,Tangerine",checked,,£10.00,2021-07-02 07.01.32.jpg (https://dl.airtable.com/.attachments/b950d36387cf2c9500508ffd30ed9a6e/783e1f9e/2021-07-0207.01.32.jpg),2.7.2021,Natural,Steve’s Super Secret Stash Subscription  2021,
La Linda,,4,Hasbean,Bolivia,"Cherry,Sultana,Bruised plum",checked,,£10.00,2021-06-08 07.07.11.jpg (https://dl.airtable.com/.attachments/2ffd3126cd39c8a2d4b3098df3450cc7/1ef210da/2021-06-0807.07.11.jpg),8.6.2021,Natural,Steve’s Super Secret Stash Subscription  2021,
Las Brisas,,2,Yallah,Colombia,"Brown sugar,Citric,Orange,Red fruit",checked,,£12.00,2021-06-08 07.09.05.jpg (https://dl.airtable.com/.attachments/3c14b83957f7fab5cd32002e56202063/9c2d9f11/2021-06-0807.09.05.jpg),8.6.2021,Washed,,
Guilty Pleasure,,4,Cairngorm Coffee,"Brazil,Costa Rica","Chocolate,Caramel",,,£9.00,2021-05-19 13.46.00.jpg (https://dl.airtable.com/.attachments/f957d99d6c1399641c09c1871cb945b1/5f9d2fa4/2021-05-1913.46.00.jpg),19.5.2021,"Washed,Anaerobic Fermentation",,
Timor-Leste,,3,Hard Lines,Timor-leste,"Strawberry,Hazlenut,Syrupy",checked,,£11.00,2021-05-18 13.51.07.jpg (https://dl.airtable.com/.attachments/bb1897229f77ccea28e105903427e6ea/448ff86b/2021-05-1813.51.07.jpg),18.5.2021,Washed,,
Julio Gonzalez,,3,Hasbean,Bolivia,"Lemon,Peach yogurt",checked,,£10.00,2021-05-01 11.24.57.jpg (https://dl.airtable.com/.attachments/90bbabb16c52108186c97b24b6893119/389f76cf/2021-05-0111.24.57.jpg),1.5.2021,Washed,Steve’s Super Secret Stash Subscription  2021,
12,,2,Backyard Coffee,"Brazil,Uganda","Chocolate,Marzipan,Cinnamon,Candy floss",,,£8.00,2021-05-01 11.26.08.jpg (https://dl.airtable.com/.attachments/c3fd629381d5c9f4ffc5aba1ca24104b/643e0507/2021-05-0111.26.08.jpg),1.5.2021,N/a,,
Pioneer,,3,Altitude London,n/a,"Raspberry,Almond,Toffee",,"Hard to dial in, but I was also changing technique at the time to include tapping the side of the ports filter to level grounds, which resulted in a change in grind size being needed",£9.00,2021-04-28 07.02.46.jpg (https://dl.airtable.com/.attachments/1c0c60d58cb4b531e2f8723915e09868/f3ca8f65/2021-04-2807.02.46.jpg),26.4.2021,N/a,,
Dulima,,3,Maude,Colombia,"Red currant,Milk chocolate,Almond",checked,"Hard to dial in, possibly due to wide range of sizes in beans",£10.00,2021-04-10 11.46.40.jpg (https://dl.airtable.com/.attachments/fe9bf4b1dcd39f872a80157beed2b0e6/901d42b6/2021-04-1011.46.40.jpg),10.4.2021,Washed,,
Cajamarca,,3,Frequency,Peru,"Green apple,Assam tea",checked,,£10.00,2021-04-02 07.39.43.jpg (https://dl.airtable.com/.attachments/a6dbeeb6ad79c7a41fdfbad5ad48ee5d/b41dbe28/2021-04-0207.39.43.jpg),2.4.2021,Washed,,
Finca Las Brunas ,,3,Hasbean,El Salvador,"Glace Cherry,Lime zest,Mango,Brown sugar,Jelly tots",checked,,£10.00,2021-04-02 07.40.48.jpg (https://dl.airtable.com/.attachments/9d62d5873b9f7e72188bca6864c75893/69a318af/2021-04-0207.40.48.jpg),2.4.2021,Natural,Steve’s Super Secret Stash Subscription  2021,
Bolivia Estate Miguel Careces,,3,Perception,Bolivia,,checked,,£13.60,2021-03-24 10.30.26.jpg (https://dl.airtable.com/.attachments/670dfa676ef202956e2f080ea2f92170/899b297f/2021-03-2410.30.26.jpg),24.3.2021,Washed,,
